title;start;inputRevision;CESandGDXversion;CES_parameters;optimization;slurmConfig;cm_optimisticMAC;cm_VRE_supply_assumptions;cm_CESMkup_ind;cm_CESMkup_ind_data;regionmapping;extramappings_historic;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_2020;c_peakBudgYr;cm_CO2priceRegConvEndYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;cm_fetaxscen;cm_co2_tax_growth;cm_bioenergy_SustTax;cm_maxProdBiolc;c_ccsinjecratescen;c_ccscapratescen;cm_CESMkup_build;techpol;regipol;cm_implicitQttyTarget;cm_emiMktTarget;cm_NucRegiPol;cm_CoalRegiPol;cm_altFeEmiFac;cm_POPscen;cm_GDPscen;cm_demScen;cm_oil_scen;cm_gas_scen;cm_coal_scen;c_techAssumptScen;cm_nucscen;cm_so2tax_scen;cm_multigasscen;cm_LU_emi_scen;cm_tradecostBio;cm_1stgen_phaseout;c_SSP_forcing_adjust;cm_APscen;water;cm_EDGEtr_scen;cm_startyear;path_gdx;path_gdx_ref;path_gdx_bau;path_gdx_refpolicycost;description
SSP2EU-CP1050_CCSdef_H2def_ELopt;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;0;1;standard;;;;rcp26;0;globallyOptimal;1050;exogenous;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-PkBudg1050;SSP2EU-PkBudg1050;SSP2EU-NPi;;
SSP2EU-CP1050_CCSdef_H2opt_ELopt;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;0;1;H2opt_ELopt;;;;rcp26;0;globallyOptimal;1050;exogenous;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-PkBudg1050;SSP2EU-PkBudg1050;SSP2EU-NPi;;
SSP2EU-CP1050_CCSopt_H2def_ELopt;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;1;1;standard;;;;rcp26;0;globallyOptimal;1050;exogenous;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-PkBudg1050;SSP2EU-PkBudg1050;SSP2EU-NPi;;
SSP2EU-CP1050_CCSopt_H2opt_ELopt;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;1;1;H2opt_ELopt;;;;rcp26;0;globallyOptimal;1050;exogenous;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-PkBudg1050;SSP2EU-PkBudg1050;SSP2EU-NPi;;
SSP2EU-CarbonPrice500_test_elMkup;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;;;ELopt;0.43;;;rcp20;0;globallyOptimal;500;exogenous;100;2080;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;SSP2EU-PkBudg500;SSP2EU-PkBudg500;SSP2EU-NPi;;SSP2EU-PkBudg500: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 500 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5??C scenario, peak warming is allowed to be well belowwell below 1.5??C, at median climate sensitivity but returns to values below 1.5??C in at least 67?% of scenarios by the end of the century.
SSP2EU-CarbonPrice650_test_elMkup;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;;;ELopt;0.43;;;rcp20;0;globallyOptimal;650;exogenous;100;2080;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix4;2025;SSP2EU-PkBudg650;SSP2EU-PkBudg650;SSP2EU-NPi;;SSP2EU-PkBudg650: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 650 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a 1.5??C scenario, peak warming is allowed to be at or slightly above 1.5??C, at median climate sensitivity but returns to values below 1.5??C in at least 67?% of scenarios by the end of the century.
SSP2EU-CarbonPrice1050_test_elMkup;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;;;ELopt;0.43;;;rcp26;0;globallyOptimal;1050;exogenous;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-PkBudg1050;SSP2EU-PkBudg1050;SSP2EU-NPi;;SSP2EU-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2??C scenario, at median climate sensitivity but returns to values below 2??C in at least 67?% of scenarios during the whole century.
SSP2EU-CarbonPrice1050_test_elMkupA;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;;;ELopt;0.657;;;rcp26;0;globallyOptimal;1050;exogenous;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-PkBudg1050;SSP2EU-PkBudg1050;SSP2EU-NPi;;SSP2EU-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2??C scenario, at median climate sensitivity but returns to values below 2??C in at least 67?% of scenarios during the whole century.
SSP2EU-CarbonPrice1050_test_elMkupB;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;;;ELopt;0.219;;;rcp26;0;globallyOptimal;1050;exogenous;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-PkBudg1050;SSP2EU-PkBudg1050;SSP2EU-NPi;;SSP2EU-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2??C scenario, at median climate sensitivity but returns to values below 2??C in at least 67?% of scenarios during the whole century.
SSP2EU-CarbonPrice1050_test_elMkupC;0;6.6;3b4ae098945de4371809dbe4275f46a5a3e3dd4d;;;9;;;ELopt;0.11;;;rcp26;0;globallyOptimal;1050;exogenous;60;2100;;9;;;;;;;;;;NDC;regiCarbonPrice;2030.EUR_regi.tax.t.FE_wo_b_wo_n_e.all 1.2809;;on;on;EUR_regi, NEU_regi;;;;;;;;;;;;;;;;heat;Mix3;2025;SSP2EU-PkBudg1050;SSP2EU-PkBudg1050;SSP2EU-NPi;;SSP2EU-PkBudg1050: This climate policy scenario follows the Shared Socioeconomic Pathways 2 called Middle of the Road. The stylized climate policy scenario assumes a peak budget of 1150 Gt?CO2 on total CO2 emissions from 2015 to 2100. This is a well below 2??C scenario, at median climate sensitivity but returns to values below 2??C in at least 67?% of scenarios during the whole century.
